compound,technique,wavenumber,intensity
CCl4,IR,3068.91972,0.113891156
CCl4,IR,3066.8628,0.113891156
CCl4,IR,3064.80589,0.113854447
CCl4,IR,3062.74897,0.113775827
CCl4,IR,3060.69205,0.113833477
CCl4,IR,3058.63514,0.114027604
CCl4,IR,3056.57822,0.114143188
CCl4,IR,3054.5213,0.114093263
CCl4,IR,3052.46439,0.114045985
CCl4,IR,3050.40747,0.114101144
CCl4,IR,3048.35055,0.114195765
CCl4,IR,3046.29364,0.114253628
CCl4,IR,3044.23672,0.114211543
CCl4,IR,3042.1798,0.114082755
CCl4,IR,3040.12289,0.113977729
CCl4,IR,3038.06597,0.113904269
CCl4,IR,3036.00905,0.113849204
CCl4,IR,3033.95214,0.113828235
CCl4,IR,3031.89522,0.113859691
CCl4,IR,3029.8383,0.113990852
CCl4,IR,3027.78139,0.114103772
CCl4,IR,3025.72447,0.114011852
CCl4,IR,3023.66755,0.113888533
CCl4,IR,3021.61064,0.113880666
CCl4,IR,3019.55372,0.113901646
CCl4,IR,3017.4968,0.11394624
CCl4,IR,3015.43989,0.113977729
CCl4,IR,3013.38297,0.113982978
CCl4,IR,3011.32605,0.114003977
CCl4,IR,3009.26914,0.114035481
CCl4,IR,3007.21222,0.114056489
CCl4,IR,3005.1553,0.114061742
CCl4,IR,3003.09839,0.114024979
CCl4,IR,3001.04147,0.113975105
CCl4,IR,2998.98455,0.113927876
CCl4,IR,2996.92764,0.113901646
CCl4,IR,2994.87072,0.113935746
CCl4,IR,2992.8138,0.113975105
CCl4,IR,2990.75689,0.113990852
CCl4,IR,2988.69997,0.113998727
CCl4,IR,2986.64305,0.113996102
CCl4,IR,2984.58614,0.114011852
CCl4,IR,2982.52922,0.114040733
CCl4,IR,2980.4723,0.114072248
CCl4,IR,2978.41539,0.114093263
CCl4,IR,2976.35847,0.114059116
CCl4,IR,2974.30155,0.114017102
CCl4,IR,2972.24464,0.114064368
CCl4,IR,2970.18772,0.114132676
CCl4,IR,2968.1308,0.114119537
CCl4,IR,2966.07389,0.114024979
CCl4,IR,2964.01697,0.113896401
CCl4,IR,2961.96005,0.113838719
CCl4,IR,2959.90314,0.113922629
CCl4,IR,2957.84622,0.11403023
CCl4,IR,2955.7893,0.114032856
CCl4,IR,2953.73239,0.114022353
CCl4,IR,2951.67547,0.114061742
CCl4,IR,2949.61855,0.114069621
CCl4,IR,2947.56164,0.114064368
CCl4,IR,2945.50472,0.114132676
CCl4,IR,2943.4478,0.114185248
CCl4,IR,2941.39089,0.114135304
CCl4,IR,2939.33397,0.114088009
CCl4,IR,2937.27705,0.114109026
CCl4,IR,2935.22014,0.114114281
CCl4,IR,2933.16322,0.114059116
CCl4,IR,2931.1063,0.114006602
CCl4,IR,2929.04939,0.114019728
CCl4,IR,2926.99247,0.114040733
CCl4,IR,2924.93555,0.113980354
CCl4,IR,2922.87864,0.11391476
CCl4,IR,2920.82172,0.113927876
CCl4,IR,2918.7648,0.113977729
CCl4,IR,2916.70789,0.113993477
CCl4,IR,2914.65097,0.113964608
CCl4,IR,2912.59405,0.11397248
CCl4,IR,2910.53713,0.114019728
CCl4,IR,2908.48022,0.114048611
CCl4,IR,2906.4233,0.113998727
CCl4,IR,2904.36638,0.113891156
CCl4,IR,2902.30947,0.11384134
CCl4,IR,2900.25255,0.113893778
CCl4,IR,2898.19563,0.113925253
CCl4,IR,2896.13872,0.113885911
CCl4,IR,2894.0818,0.113917383
CCl4,IR,2892.02488,0.113975105
CCl4,IR,2889.96797,0.11397248
CCl4,IR,2887.91105,0.113985603
CCl4,IR,2885.85413,0.114051237
CCl4,IR,2883.79722,0.114103772
CCl4,IR,2881.7403,0.114080128
CCl4,IR,2879.68338,0.114040733
CCl4,IR,2877.62647,0.113998727
CCl4,IR,2875.56955,0.113977729
CCl4,IR,2873.51263,0.114019728
CCl4,IR,2871.45572,0.114038107
CCl4,IR,2869.3988,0.113982978
CCl4,IR,2867.34188,0.113954112
CCl4,IR,2865.28497,0.11403023
CCl4,IR,2863.22805,0.114116909
CCl4,IR,2861.17113,0.11409589
CCl4,IR,2859.11422,0.114024979
CCl4,IR,2857.0573,0.114024979
CCl4,IR,2855.00038,0.114093263
CCl4,IR,2852.94347,0.114106399
CCl4,IR,2850.88655,0.114059116
CCl4,IR,2848.82963,0.11403023
CCl4,IR,2846.77272,0.114048611
CCl4,IR,2844.7158,0.114111654
CCl4,IR,2842.65888,0.114164216
CCl4,IR,2840.60197,0.114190507
CCl4,IR,2838.54505,0.114203654
CCl4,IR,2836.48813,0.114137932
CCl4,IR,2834.43122,0.114014477
CCl4,IR,2832.3743,0.11394624
CCl4,IR,2830.31738,0.113964608
CCl4,IR,2828.26047,0.113996102
CCl4,IR,2826.20355,0.113998727
CCl4,IR,2824.14663,0.114048611
CCl4,IR,2822.08972,0.114153702
CCl4,IR,2820.0328,0.114243105
CCl4,IR,2817.97588,0.114272045
CCl4,IR,2815.91897,0.114195765
CCl4,IR,2813.86205,0.114085382
CCl4,IR,2811.80513,0.114053863
CCl4,IR,2809.74822,0.114093263
CCl4,IR,2807.6913,0.114119537
CCl4,IR,2805.63438,0.11412742
CCl4,IR,2803.57747,0.11414056
CCl4,IR,2801.52055,0.114158959
CCl4,IR,2799.46363,0.114153702
CCl4,IR,2797.40672,0.114111654
CCl4,IR,2795.3498,0.114032856
CCl4,IR,2793.29288,0.113961984
CCl4,IR,2791.23597,0.113940993
CCl4,IR,2789.17905,0.113912137
CCl4,IR,2787.12213,0.113878044
CCl4,IR,2785.06522,0.113901646
CCl4,IR,2783.0083,0.113977729
CCl4,IR,2780.95138,0.114017102
CCl4,IR,2778.89447,0.114014477
CCl4,IR,2776.83755,0.114066995
CCl4,IR,2774.78063,0.114116909
CCl4,IR,2772.72372,0.114090636
CCl4,IR,2770.6668,0.114074875
CCl4,IR,2768.60988,0.114098517
CCl4,IR,2766.55297,0.114056489
CCl4,IR,2764.49605,0.113990852
CCl4,IR,2762.43913,0.113975105
CCl4,IR,2760.38222,0.113927876
CCl4,IR,2758.3253,0.1138728
CCl4,IR,2756.26838,0.11394624
CCl4,IR,2754.21147,0.114088009
CCl4,IR,2752.15455,0.114135304
CCl4,IR,2750.09763,0.114069621
CCl4,IR,2748.04072,0.113980354
CCl4,IR,2745.9838,0.113975105
CCl4,IR,2743.92688,0.114069621
CCl4,IR,2741.86997,0.114114281
CCl4,IR,2739.81305,0.114043359
CCl4,IR,2737.75613,0.113951488
CCl4,IR,2735.69922,0.113938369
CCl4,IR,2733.6423,0.114006602
CCl4,IR,2731.58538,0.114090636
CCl4,IR,2729.52847,0.114122164
CCl4,IR,2727.47155,0.114080128
CCl4,IR,2725.41463,0.114022353
CCl4,IR,2723.35771,0.114014477
CCl4,IR,2721.3008,0.114003977
CCl4,IR,2719.24388,0.114006602
CCl4,IR,2717.18696,0.11409589
CCl4,IR,2715.13005,0.114185248
CCl4,IR,2713.07313,0.114195765
CCl4,IR,2711.01621,0.114143188
CCl4,IR,2708.9593,0.114051237
CCl4,IR,2706.90238,0.113977729
CCl4,IR,2704.84546,0.114003977
CCl4,IR,2702.78855,0.114077501
CCl4,IR,2700.73163,0.114085382
CCl4,IR,2698.67471,0.114053863
CCl4,IR,2696.6178,0.114051237
CCl4,IR,2694.56088,0.114064368
CCl4,IR,2692.50396,0.114059116
CCl4,IR,2690.44705,0.114056489
CCl4,IR,2688.39013,0.114059116
CCl4,IR,2686.33321,0.114072248
CCl4,IR,2684.2763,0.114090636
CCl4,IR,2682.21938,0.114116909
CCl4,IR,2680.16246,0.114166845
CCl4,IR,2678.10555,0.114164216
CCl4,IR,2676.04863,0.114090636
CCl4,IR,2673.99171,0.114043359
CCl4,IR,2671.9348,0.114038107
CCl4,IR,2669.87788,0.114059116
CCl4,IR,2667.82096,0.114109026
CCl4,IR,2665.76405,0.114090636
CCl4,IR,2663.70713,0.113993477
CCl4,IR,2661.65021,0.11394624
CCl4,IR,2659.5933,0.114003977
CCl4,IR,2657.53638,0.114124792
CCl4,IR,2655.47946,0.114229953
CCl4,IR,2653.42255,0.114256259
CCl4,IR,2651.36563,0.114256259
CCl4,IR,2649.30871,0.114243105
CCl4,IR,2647.2518,0.114172103
CCl4,IR,2645.19488,0.114124792
CCl4,IR,2643.13796,0.114114281
CCl4,IR,2641.08105,0.114048611
CCl4,IR,2639.02413,0.11394624
CCl4,IR,2636.96721,0.113906891
CCl4,IR,2634.9103,0.113938369
CCl4,IR,2632.85338,0.114017102
CCl4,IR,2630.79646,0.114080128
CCl4,IR,2628.73955,0.114027604
CCl4,IR,2626.68263,0.113951488
CCl4,IR,2624.62571,0.11397248
CCl4,IR,2622.5688,0.114053863
CCl4,IR,2620.51188,0.114145817
CCl4,IR,2618.45496,0.114211543
CCl4,IR,2616.39805,0.11415633
CCl4,IR,2614.34113,0.114051237
CCl4,IR,2612.28421,0.114074875
CCl4,IR,2610.2273,0.11415633
CCl4,IR,2608.17038,0.114135304
CCl4,IR,2606.11346,0.113998727
CCl4,IR,2604.05655,0.113875422
CCl4,IR,2601.99963,0.113857069
CCl4,IR,2599.94271,0.113883289
CCl4,IR,2597.8858,0.113888533
CCl4,IR,2595.82888,0.113899023
CCl4,IR,2593.77196,0.113896401
CCl4,IR,2591.71505,0.113891156
CCl4,IR,2589.65813,0.113954112
CCl4,IR,2587.60121,0.114009227
CCl4,IR,2585.5443,0.113954112
CCl4,IR,2583.48738,0.113888533
CCl4,IR,2581.43046,0.113920006
CCl4,IR,2579.37355,0.113885911
CCl4,IR,2577.31663,0.113686789
CCl4,IR,2575.25971,0.113668466
CCl4,IR,2573.2028,0.11394624
CCl4,IR,2571.14588,0.114106399
CCl4,IR,2569.08896,0.114006602
CCl4,IR,2567.03205,0.113870178
