m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
607.109368,1,10616390,30,23,24,14,607.109329,0.1,0.466666667,0.8,19,0.52173913,608.1166055,607,0.437574,608,0.2572062,607,0.7598947,603,0.3950201,608,0.3099483,607,0.7545115,607,0.9025288,10,6,6,7,10,5,9,1,288.0997736
605.093749,1,11175568,30,21,22,14,605.093679,0.1,0.466666667,0.733333333,20,0.565217391,606.1009554,605,0.424174,606,0.2410901,605,0.745427,601,0.3950201,606,0.2936574,605,0.7400616,605,0.8875883,9,6,7,7,10,5,9,1,290.0062672
579.077998,1,13339891,28,19,20,14,579.078029,-0.1,0.5,0.714285714,19,0.571428571,580.0853053,579,0.437574,580,0.2194251,579,0.7450373,575,0.5813627,580,0.269736,579,0.7399022,579,0.8810966,10,7,6,6,10,5,9,1,290.0426527
567.07808,1,12832900,27,19,20,14,567.078029,0.1,0.518518519,0.740740741,18,0.55,568.0853053,567,0.450973,568,0.2166506,567,0.7520763,563,0.6745340,568,0.2659207,567,0.7470474,567,0.885321,8,6,7,7,11,5,9,1,290.0790382
563.11952,1,17297814,29,23,24,12,563.1195,0,0.413793103,0.827586207,18,0.52173913,564.1267762,563,0.496864,564,0.2572062,563,0.7958692,559,0.7467400,564,0.3061331,563,0.7908753,563,0.9281854,11,6,6,7,9,5,9,1,290.1154237
561.103807,1,27419160,29,21,22,12,561.10385,-0.1,0.413793103,0.75862069,19,0.565217391,562.1111262,561,0.483465,562,0.2410901,561,0.7814014,557,0.7467400,562,0.2898421,561,0.7764255,561,0.9132449,9,6,7,7,10,5,9,1,292.0219172
561.067464,1,14893595,28,17,18,13,561.067464,0,0.464285714,0.642857143,20,0.627906977,562.0747407,561,0.44712,562,0.2046962,561,0.7450373,557,0.7106370,562,0.2534451,561,0.7400616,561,0.8768722,10,5,6,7,10,5,10,1,292.0583027
547.088157,1,37315750,28,19,20,12,547.0882,-0.1,0.428571429,0.714285714,19,0.590909091,548.0954761,547,0.483465,548,0.2221996,547,0.7739727,543,0.8399113,548,0.269736,547,0.7691208,547,0.9025288,9,6,6,8,10,5,9,1,292.0946882
545.108889,1,29902036,29,21,22,11,545.108935,-0.1,0.379310345,0.75862069,19,0.574468085,546.1162115,545,0.50641,546,0.2424774,545,0.7958692,541,0.8760143,546,0.2898421,545,0.7910348,545,0.923961,10,7,6,7,10,5,8,1,294.0375673
539.083068,1,22562054,26,19,20,13,539.083114,-0.1,0.5,0.769230769,17,0.538461538,540.0903907,539,0.487318,540,0.2152633,539,0.773583,535,0.8969797,540,0.2621055,539,0.7688019,539,0.9002615,9,6,6,7,11,5,9,1,294.0528234
529.077616,1,17478645,28,17,18,11,529.077635,0,0.392857143,0.642857143,20,0.644444444,530.0849114,529,0.493011,530,0.2074707,529,0.7739727,525,0.9691857,530,0.2534451,529,0.7692802,529,0.8983044,9,6,6,8,10,5,9,1,294.0739528
525.103857,1,18760442,26,21,22,12,525.10385,0,0.461538462,0.846153846,16,0.5,526.1111262,525,0.523663,526,0.2327667,525,0.8025184,522,0.0262540,526,0.2783964,525,0.7978611,525,0.925918,10,6,6,8,10,4,9,1,294.0892089
525.067454,1,18326264,25,17,18,13,525.067464,0,0.52,0.72,17,0.567567568,526.0747407,525,0.487318,526,0.1963728,525,0.7661543,521,0.9901510,526,0.2419993,525,0.7614973,525,0.8895453,9,6,7,7,10,5,9,1,294.1103383
521.108941,1,29671850,27,21,22,11,521.108935,0,0.407407407,0.814814815,17,0.534883721,522.1162115,521,0.533209,522,0.2369284,521,0.8099471,518,0.0623570,522,0.2822117,521,0.8053252,521,0.9324098,10,6,6,7,11,5,8,1,296.0168319
