Index,m/z,stddev,PeakHeight,C,H,Neutral H,O,m/z2,stddev2,O/C,H/C,DBE,AI mod,Neutral Mass,KM(CH2),KMD(CH2),KM(COO),KMD(COO),KM(H2O),KMD(H2O),KM(H2),KMD(H2),KM(O),KMD(O),KM(C2H4O),KMD(C2H4O),KM(OCH2),KMD(OCH2),KMD(CH2),KMD(COO),KMD(H2O),KMD(H2),KMD(O),KMD(C2H4O),KMD(OCH2),see comment,Neutral Mass
277,295.045975,1,8280175,13,11,12,8,295.045941,0.1,0.615384615,0.923076923,8,0.444444444,296.0532174,295,0.72264,296,0.1216669,295,0.8795576,293,0.7545783,296,0.1473436,295,0.8769369,295,0.948997,8,4,5,6,8,3,6,1,414.0586967
278,295.0612,1,3405425,17,11,12,5,295.061197,0,0.294117647,0.705882353,12,0.655172414,296.0684735,295,0.737879,296,0.1369265,295,0.8948048,293,0.7697160,296,0.1626046,295,0.8921839,295,0.9642478,7,5,4,5,11,4,8,1,636.1115201
279,295.082327,1,2643060,14,15,16,7,295.082326,0,0.5,1.142857143,7,0.333333333,296.0896029,295,0.758985,296,0.1580608,295,0.9159218,293,0.7906813,296,0.1837407,295,0.9133007,295,0.9853697,6,4,3,6,8,2,3,0,622.09587
285,297.025243,1,4341115,12,9,10,9,297.025205,0.1,0.75,0.833333333,8,0.466666667,298.0324819,297,0.699694,298,0.1013891,297,0.8576612,295,0.7184753,298,0.1272375,297,0.8550229,297,0.9275648,7,3,3,4,6,3,5,1,610.09587
286,297.040495,1,9460093,16,9,10,6,297.040462,0.1,0.375,0.625,12,0.692307692,298.0477381,297,0.714933,298,0.1166487,297,0.8729083,295,0.7336130,298,0.1424985,297,0.8702699,297,0.9428156,8,4,5,6,8,5,10,1,608.1166055
287,297.06157,1,5123456,13,13,14,8,297.061591,-0.1,0.615384615,1.076923077,7,0.333333333,298.0688674,297,0.736039,298,0.137783,297,0.8940253,295,0.7545783,298,0.1636345,297,0.8913867,297,0.9639375,5,4,5,6,7,3,5,1,606.1009554
288,297.076867,1,5421442,17,13,14,5,297.076847,0.1,0.294117647,0.823529412,11,0.586206897,298.0841236,297,0.751278,298,0.1530426,297,0.9092725,295,0.7697160,298,0.1788955,297,0.9066338,297,0.9791883,5,5,5,5,11,3,7,1,580.0853053
291,299.019717,1,4540557,15,7,8,7,299.019726,0,0.466666667,0.533333333,12,0.739130435,300.0270026,299,0.691988,300,0.0963709,299,0.8510119,297,0.6975100,300,0.1223923,299,0.848356,299,0.9213834,9,3,6,7,8,5,9,1,568.0853053
292,299.040852,1,4045968,12,11,12,9,299.040856,0,0.75,1,7,0.333333333,300.048132,299,0.713094,300,0.1175052,299,0.8721289,297,0.7184753,300,0.1435284,299,0.8694728,299,0.9425053,5,4,4,4,6,2,5,1,564.1267762
293,299.056142,1,16684690,16,11,12,6,299.056112,0.1,0.375,0.75,11,0.615384615,300.0633881,299,0.728333,300,0.1327648,299,0.8873761,297,0.7336130,300,0.1587894,299,0.8847198,299,0.9577561,8,6,5,6,10,4,7,1,562.1111262
295,299.09247,1,4719767,17,15,16,5,299.092497,-0.1,0.294117647,0.941176471,10,0.517241379,300.0997736,299,0.764678,300,0.1691587,299,0.9237402,297,0.7697160,300,0.1951864,299,0.9210837,299,0.9941288,6,6,4,5,10,3,6,1,562.0747407
301,300.999065,1,1163168,14,5,6,8,300.998991,0.2,0.571428571,0.428571429,12,0.8,302.0062672,301,0.669042,302,0.0760931,301,0.8291155,299,0.6614070,302,0.1022861,301,0.826442,301,0.8999512,10,2,5,7,4,6,8,1,548.0954761
303,301.035355,1,16179109,15,9,10,7,301.035376,-0.1,0.466666667,0.666666667,11,0.652173913,302.0426527,301,0.705387,302,0.112487,301,0.8654796,299,0.6975100,302,0.1386832,301,0.8628059,301,0.9363239,9,5,6,7,7,4,9,1,546.1162115
304,301.056535,1,2461096,12,13,14,9,301.056506,0.1,0.75,1.166666667,6,0.2,302.063782,301,0.726493,302,0.1336213,301,0.8865966,299,0.7184753,302,0.1598193,301,0.8839226,301,0.9574458,3,3,4,4,5,2,3,1,540.0903907
307,301.108112,1,1727663,17,17,18,5,301.108147,-0.1,0.294117647,1.058823529,9,0.448275862,302.1154237,301,0.778077,302,0.1852748,301,0.9382079,299,0.7697160,302,0.2114774,301,0.9355335,302,0.0090693,5,7,2,5,9,1,3,1,530.0849114
311,303.014623,1,5900475,14,7,8,8,303.014641,-0.1,0.571428571,0.571428571,11,0.7,304.0219172,303,0.682442,304,0.0922092,303,0.8435832,301,0.6614070,304,0.1185771,303,0.8408919,303,0.9148917,10,3,6,7,6,5,9,1,526.1111262
314,303.051045,1,53598400,15,11,12,7,303.051026,0.1,0.466666667,0.8,10,0.565217391,304.0583027,303,0.718787,304,0.1286031,303,0.8799473,301,0.6975100,304,0.1549741,303,0.8772557,303,0.9512644,7,5,6,7,9,5,8,1,526.0747407
316,303.087401,1,8057029,16,15,16,6,303.087412,0,0.375,1,9,0.461538462,304.0946882,303,0.755132,304,0.164997,303,0.9163115,301,0.7336130,304,0.1913712,303,0.9136196,303,0.9876371,7,6,4,6,9,3,5,1,522.1162115
321,304.9939,1,878548,13,5,6,9,304.993905,0,0.692307692,0.461538462,11,0.764705882,306.0011818,305,0.659496,306,0.0719314,305,0.8216867,303,0.6253040,306,0.0984709,305,0.8189779,305,0.8934595,10,1,4,6,3,5,7,1,514.0899968
322,305.030302,1,17672665,14,9,10,8,305.030291,0,0.571428571,0.714285714,10,0.6,306.0375673,305,0.695841,306,0.1083253,305,0.8580509,303,0.6614070,306,0.134868,305,0.8553418,305,0.9298322,9,4,5,7,8,4,7,1,514.0747407
324,305.066679,1,19667423,15,13,14,7,305.066676,0,0.466666667,0.933333333,9,0.47826087,306.0739528,305,0.732186,306,0.1447192,305,0.8944151,303,0.6975100,306,0.171265,305,0.8917056,305,0.9662049,8,6,3,7,9,4,7,1,506.1212969
325,305.103046,1,2371044,16,17,18,6,305.103062,-0.1,0.375,1.125,8,0.384615385,306.1103383,305,0.768531,306,0.1811131,305,0.9307792,303,0.7336130,306,0.2076621,305,0.9280694,306,0.0025776,5,6,4,6,8,2,4,1,496.064176
